Date,Total_Liabilities,Gross_Profit
2024-06-30,4218000000,81000000
2024-03-31,3951000000,85000000
2023-12-31,2598000000,96000000
2023-09-30,2534000000,103000000
2023-06-30,2544000000,93000000
2023-03-31,2583000000,94000000
2022-12-31,2793000000,106000000
2022-09-30,2746000000,100000000
2022-06-30,2755000000,97000000
2022-03-31,2775000000,94000000
2021-12-31,2578000000,111000000
2021-09-30,2525000000,106000000
2021-06-30,2547000000,102000000
2021-03-31,2078000000,100000000
2020-12-31,913000000,111000000
2020-09-30,384000000,106000000
2020-06-30,375000000,87000000
2020-03-31,388000000,87000000